chunk_key,bias_mean_kms,bias_rms_kms,n,bootstrap_mean_kms,bootstrap_std_kms
13_3,0.5728306522834908,0.3405301762760254,71,0.5518332282545785,0.054782203476384794
13_4,1.2643653265847217,0.20076117798001453,37,1.2687122625965181,0.060595170246759256
13_5,1.1245983724359538,0.1927074875982902,52,1.0296993815085485,0.04549923119214281
13_6,1.0408081061276355,0.2263856796851442,17,0.9778591014674682,0.1196535396672812
14_1,-0.633176100877416,0.3476878735008902,50,-0.4261883090411155,0.10785038136505916
14_2,0.40509905925240897,0.30204748106955626,12,0.4398779216434244,0.1522387160208258
14_3,0.7562443524284183,0.4112459126227038,60,0.6740529355637617,0.06862383504583448
14_4,-0.26356561116184785,0.4327074943273296,57,-0.24991953993316723,0.0740589476137933
14_5,0.39137359050582354,0.3570968174473012,36,0.30263446509563197,0.07995563000996493
14_6,0.07074233745194769,0.2553693988006312,10,0.0440082974165553,0.10527993836803637
14_7,-0.4411737954532702,0.4086260583825703,8,-0.516914811036899,0.21583089111334372
15_1,-1.0193857268871447,0.30924370623432357,4,-1.013480028317143,0.21319599290445282
15_2,-0.6788154993009039,0.34108496016551865,42,-0.6713483626851123,0.07042315468177686
15_3,-0.2172103068525291,0.24604506704039797,50,-0.30890216909894763,0.06849717938144977
15_4,0.07150965087431713,0.22296933832743127,88,0.035880121838658276,0.03654924360374598
15_5,0.4965158604994518,0.2743706829104433,63,0.40789586792298266,0.06570871388334344
15_6,1.0911806466309906,0.23529631080453542,34,1.016943552706321,0.06639478131408358
15_7,0.8156519715335703,0.28249689284710794,13,0.5578209004183011,0.2554177413302739
16_0,-0.8058523736094736,0.12073907146016327,2,-0.05556746304211786,0.4984829267403504
16_1,0.026489931965392628,0.5571474119451264,58,0.1211576783185386,0.09038433316417677
16_2,0.4685969261162902,0.39788456287727064,63,0.28266922319267623,0.07256696898914727
16_3,0.2612611641229294,0.2889478853001699,90,0.3454264177201088,0.050272580129100505
16_4,0.8695344419736772,0.25337603818406423,16,0.8809971546849198,0.0744981161374456
16_5,0.3632004634695281,0.2741473027406261,22,0.2404851354153298,0.10868917130351335
16_6,0.08369260695066354,0.32022858515191455,32,0.26752681871471706,0.07039250139327927
16_7,0.13058098531055198,0.3637178648428662,13,0.1551590650522983,0.11184117801611128
17_1,-0.9949272046924154,0.26973890048026683,17,-0.9305576328720494,0.08798174642563325
17_2,-0.3255484243375733,0.2672772964901311,58,-0.3418828976134663,0.05672157958615946
17_3,-0.465806826164205,0.4954874660010182,42,-0.54081383741694,0.08168592300167576
17_4,-0.047296783510977373,0.48772394790912965,48,-0.10900701325618725,0.07854348629971096
17_5,0.1589527241765853,0.20154711711772894,83,0.12663370623817063,0.04317197649101796
17_6,0.21740006524435768,0.4391234872882683,33,0.10827955060178124,0.1413052725586214
17_7,0.04630745903598075,0.2621413059602644,17,0.23722067370090533,0.09911937118234337
18_0,-0.2661329395104417,0.0,1,-0.2661329395104417,0.0
18_1,-1.276207264221293,0.2413989555268785,21,-1.1906121050140515,0.09591139793708109
18_2,-0.15454894047143578,0.3418543914296734,78,-0.06511171272069859,0.058745222062695154
18_3,0.3760765137793608,0.20213444420492954,65,0.3766867256450168,0.050590259521136424
18_4,-0.08208629733823455,0.46015579131360684,72,-0.22242015147144564,0.08311412600239736
18_5,1.0756822894096847,0.20300812676798774,62,1.068949680475138,0.043091899625085583
18_6,0.39278594066259287,0.25193863813597583,22,0.2912275548048375,0.13727078167303544
18_7,0.7140647171233361,0.27379238556853697,15,0.547547410658632,0.10805842480425067
19_0,0.34298303708021083,1.1811234574282743,3,-0.038051278195854986,0.6727902070613268
19_1,-0.7025757237724429,0.356559765657178,47,-0.55535409355393,0.07405398106609444
19_2,-0.013577211398939831,0.3593792349915994,87,-0.03466727831036707,0.053275352675281634
19_3,0.2466305897724928,0.23427427713331628,92,0.3600065820773206,0.035944565779483476
19_4,0.14058128750504847,0.20658931167347672,103,0.22704030198312936,0.04131169289308384
19_5,-0.023520668495501187,0.18686263935151154,94,-0.08366568034217604,0.044864944400929585
19_6,0.3169835661424924,0.3390468773424989,55,0.2035323348989359,0.07313104580211796
19_7,-0.33581593348584765,0.3695862952086735,29,-0.3742832201053497,0.08411373056909567
20_0,-1.2861817876579806,0.0,1,-1.2861817876579806,0.0
20_1,-1.3403499003499402,0.24031973514119961,28,-1.196587379158975,0.10788934362288329
20_2,-1.0688031229315995,0.19209603240322035,88,-0.8546826694691926,0.044793386471988085
20_3,-0.6795416461531864,0.2348813195444263,56,-0.5882824396872874,0.05727715252203593
20_4,0.6968010659763513,0.2048856288285241,86,0.7871796901911463,0.03946557285805463
20_5,1.149630200317833,0.28217976157208674,25,1.1622701476242832,0.06558631385675004
20_6,0.801155398131543,0.28679560998550696,12,0.4720301223659834,0.17202314445623237
20_7,0.2704466874090229,0.35352002555412104,18,0.309282194570883,0.12617537652112298
21_0,-1.324033206812362,0.0,1,-1.3240332068123621,2.220446049250313e-16
21_1,-0.7549684058955272,0.3419330052551262,34,-0.21344482551004482,0.12158211002925616
21_2,-0.3128864848157127,0.17019823839605402,80,-0.25521893553154607,0.04343741719330087
21_3,-0.23464145610247064,0.37553861819577233,50,-0.373846818694571,0.08527495206266858
21_4,0.43671003823892424,0.1755788196186362,97,0.47211943005169765,0.0345733783028868
21_5,-0.5253287513118535,0.3445766013837782,72,-0.4566443434030245,0.05873983850018261
21_6,0.17511170995737213,0.22123479515029817,79,0.08479973949209806,0.06664054366954579
21_7,-0.2607438304475624,0.1947875515992226,17,-0.40248869662236386,0.09411339630706013
22_1,-1.3254970943310191,0.29610943834384373,29,-1.2572492168998326,0.0908584568944654
22_2,-0.9191140094077448,0.2552314412994155,50,-0.7410718696654192,0.07316680362390304
22_3,-0.027852269828469882,0.5105431472601518,83,0.13878670991994813,0.06845735395480064
22_4,0.19628149374726706,0.3818071762124173,67,0.22400532928386888,0.05794853610704418
22_5,0.2768336495974753,0.16620185538010793,70,0.27046646969407456,0.04644661483808698
22_6,0.009362256966773294,0.3284928759051125,46,0.054841109996489334,0.05943712741039004
22_7,0.5358417320319235,0.1844630978329678,33,0.35120287147147666,0.07777552565269985
23_0,-1.3677173866560464,2.220446049250313e-16,1,-1.3677173866560466,0.0
23_1,-1.0951125249313447,0.3016138622378274,54,-1.0414771933075553,0.06551230914258913
23_2,0.026456080440927045,0.26127030662379463,74,0.06269929207058765,0.04536709647866593
23_3,-0.09251612736219461,0.1895266199438489,86,-0.1765011361249243,0.03102891109639959
23_4,0.192216078439151,0.21449746760596056,78,0.22798342903743632,0.05486627935810871
23_5,0.14429408723663975,0.26209670365723153,64,0.15697045044956692,0.0528242173836312
23_6,0.3580105245195871,0.2697261747704038,29,0.402328989616485,0.07932513419717785
23_7,-0.7579258519521622,0.21060827525575582,37,-0.6154225558982782,0.07967449008190208
24_1,-1.2145944616331232,0.32404461357328423,37,-0.9531990498557354,0.10124282957659357
24_2,-0.6235662026280767,0.26053048980930155,94,-0.6227810711368417,0.03833115722550827
24_3,-0.5630050009078131,0.2811658047962329,58,-0.42483133562627734,0.06069290181891421
24_4,-0.5459772947267197,0.2600886710855962,67,-0.7659342647750761,0.0564313509204358
24_5,-0.028615954227682375,0.1895182997657168,72,-0.025728276611630525,0.04642570569123426
24_6,0.543638145821749,0.36880799692950833,36,0.6816555601020414,0.07679603774108014
24_7,0.12738340720923036,0.38682215508781365,4,0.21854251580268225,0.35846241054977374
25_1,-0.05379405861498523,0.3903512103913698,43,0.10017307761515636,0.08603862754479877
25_2,0.12172118852739895,0.23231427229527069,60,0.06515340588603308,0.06650537132988525
25_3,0.5847787395034701,0.18180067056206456,101,0.7021062127968579,0.031065915514700428
25_4,0.30654513789939036,0.2181397302075234,49,0.27706555724615756,0.059030847417066844
25_5,0.033705635988667736,0.2905825807104126,57,-0.13372608958699178,0.08092339236686318
25_6,0.31859425588672385,0.23667831299141423,63,0.3280145949331041,0.06341584720520772
25_7,-0.2375857403408111,0.3253216222410183,20,-0.33229883760615075,0.0857840679382675
26_1,-1.2642630982225147,0.2595304958969878,45,-1.1576852372441941,0.07894464643766581
26_2,-0.588948755523262,0.32529466323866624,45,-0.41564572991608545,0.08425637992732256
26_3,-0.43362659712385954,0.1769806457572662,104,-0.4290578818736748,0.03367446274528764
